#================================================================================
#Title: The near-to-mid infrared spectrum of quasars
#Authors: Hernan-Caballero A., Hatziminaoglou E., Alonso-Herrero A., Mateos S.
#================================================================================
#Description of contents: Composite 0.1-11um quasar spectrum from a sample of 85
# luminous quasars with Spitzer/IRS observations. Columns include spectra for the 
# total AGN emission, the accretion disk (+ emission lines) and the dust.
#================================================================================
#Byte-by-byte Description of file: table3.dat
#--------------------------------------------------------------------------------
#   Bytes Format Units Label     Explanations
#--------------------------------------------------------------------------------
#   1-  7 F7.4   um    Wave      Wavelength
#   9- 16 F8.5  ---   Fnu_tot    Total flux per unit frequency (arbitrary units)
#  18- 25 F8.5  ---   Fnu_disk   Flux per unit freq. (arb. units) disk component
#  27- 34 F8.5  ---   Fnu_dust   Flux per unit freq. (arb. units) dust component 
#================================================================================
 0.4415  0.12090  0.11593  0.00497
 0.4465  0.11560  0.11045  0.00515
 0.4515  0.11790  0.11256  0.00534
 0.4566  0.12090  0.11537  0.00553
 0.4618  0.11750  0.11176  0.00574
 0.4670  0.11310  0.10715  0.00595
 0.4723  0.11580  0.10963  0.00617
 0.4776  0.12100  0.11461  0.00639
 0.4830  0.13590  0.12928  0.00662
 0.4885  0.15310  0.14623  0.00687
 0.4940  0.15360  0.14648  0.00712
 0.4996  0.14740  0.14002  0.00738
 0.5053  0.13490  0.12725  0.00765
 0.5110  0.11980  0.11187  0.00793
 0.5168  0.11650  0.10827  0.00823
 0.5226  0.11930  0.11078  0.00852
 0.5285  0.12080  0.11196  0.00884
 0.5345  0.12150  0.11234  0.00916
 0.5406  0.11990  0.11040  0.00950
 0.5467  0.11660  0.10675  0.00985
 0.5529  0.11280  0.10259  0.01021
 0.5591  0.10840  0.09782  0.01058
 0.5654  0.10620  0.09523  0.01097
 0.5718  0.10620  0.09483  0.01137
 0.5783  0.10840  0.09661  0.01179
 0.5848  0.11330  0.10108  0.01222
 0.5915  0.11500  0.10233  0.01267
 0.5982  0.11190  0.09877  0.01313
 0.6049  0.11010  0.09649  0.01361
 0.6118  0.11080  0.09669  0.01411
 0.6187  0.11300  0.09837  0.01463
 0.6257  0.11830  0.10313  0.01517
 0.6328  0.13210  0.11638  0.01572
 0.6399  0.16600  0.14970  0.01630
 0.6472  0.21570  0.19880  0.01690
 0.6504  0.23112  0.21395  0.01717
 0.6543  0.43811  0.42061  0.01750
 0.6583  0.51893  0.50109  0.01784
 0.6623  0.21511  0.19692  0.01819
 0.6662  0.17409  0.15554  0.01854
 0.6703  0.16428  0.14538  0.01890
 0.6743  0.13262  0.11335  0.01927
 0.6784  0.12595  0.10631  0.01964
 0.6825  0.13353  0.11351  0.02003
 0.6866  0.13402  0.11360  0.02042
 0.6908  0.12904  0.10823  0.02081
 0.6949  0.13331  0.11210  0.02122
 0.6991  0.12078  0.09915  0.02163
 0.7033  0.13225  0.11020  0.02205
 0.7076  0.12876  0.10628  0.02248
 0.7119  0.12307  0.10016  0.02292
 0.7162  0.12599  0.10262  0.02336
 0.7205  0.12160  0.09778  0.02382
 0.7248  0.12642  0.10214  0.02428
 0.7292  0.12035  0.09560  0.02475
 0.7336  0.12713  0.10189  0.02524
 0.7380  0.12221  0.09648  0.02573
 0.7425  0.12611  0.09988  0.02623
 0.7470  0.13307  0.10633  0.02674
 0.7515  0.12811  0.10085  0.02726
 0.7560  0.13111  0.10333  0.02779
 0.7606  0.12502  0.09669  0.02833
 0.7652  0.12843  0.09955  0.02888
 0.7698  0.12676  0.09732  0.02944
 0.7745  0.13238  0.10237  0.03001
 0.7791  0.13229  0.10169  0.03060
 0.7838  0.13693  0.10574  0.03119
 0.7886  0.13726  0.10546  0.03180
 0.7933  0.12711  0.09469  0.03242
 0.7981  0.12870  0.09565  0.03305
 0.8029  0.12861  0.09492  0.03369
 0.8078  0.12951  0.09517  0.03435
 0.8127  0.13794  0.10292  0.03501
 0.8176  0.13420  0.09850  0.03570
 0.8225  0.14741  0.11102  0.03639
 0.8275  0.14618  0.10908  0.03710
 0.8325  0.14030  0.10248  0.03782
 0.8375  0.14783  0.10928  0.03855
 0.8426  0.15853  0.11923  0.03930
 0.8477  0.16501  0.12494  0.04007
 0.8528  0.15923  0.11838  0.04085
 0.8579  0.15505  0.11341  0.04164
 0.8631  0.14826  0.10581  0.04245
 0.8683  0.14867  0.10539  0.04328
 0.8736  0.14328  0.09915  0.04412
 0.8788  0.14420  0.09923  0.04498
 0.8841  0.14021  0.09436  0.04585
 0.8895  0.14144  0.09470  0.04675
 0.8948  0.13779  0.09013  0.04765
 0.9003  0.14769  0.09911  0.04858
 0.9057  0.15397  0.10444  0.04953
 0.9112  0.15274  0.10225  0.05049
 0.9167  0.15677  0.10529  0.05147
 0.9222  0.16641  0.11394  0.05247
 0.9278  0.15604  0.10255  0.05349
 0.9334  0.14786  0.09333  0.05453
 0.9390  0.14324  0.08764  0.05560
 0.9447  0.14386  0.08718  0.05668
 0.9504  0.16814  0.11036  0.05778
 0.9561  0.16682  0.10791  0.05890
 0.9619  0.15951  0.09946  0.06005
 0.9677  0.15159  0.09037  0.06122
 0.9735  0.14152  0.07911  0.06241
 0.9794  0.15299  0.08937  0.06362
 0.9853  0.16045  0.09559  0.06486
 0.9913  0.16505  0.09893  0.06612
 0.9973  0.17355  0.10614  0.06741
 1.0033  0.18967  0.12095  0.06872
 1.0093  0.18005  0.11000  0.07006
 1.0154  0.17091  0.09949  0.07142
 1.0216  0.16735  0.09455  0.07281
 1.0277  0.16052  0.08630  0.07422
 1.0339  0.16472  0.08905  0.07567
 1.0402  0.17149  0.09435  0.07714
